arm,block,seed,iteration,evaluations,bestCost,populationSpread,sigma,conditionNumber
mayfly-single,1,111001,1,5222,2073.0011622111001,2.1873342925816206,,
mayfly-single,1,111001,5,17918,1958.0333417256672,2.7969316282859271,,
mayfly-single,1,111001,8,27440,1753.0173695882161,2.561848126481217,,
mayfly-single,1,111001,10,33788,1603.5292129516602,2.3866456471204107,,
mayfly-single,1,111001,16,52832,1583.4121182759602,1.9839481941519512,,
mayfly-single,1,111001,20,65528,1534.4119110107422,1.8333624523143477,,
mayfly-single,1,111001,24,78224,1496.7655181884766,1.7093648066675948,,
mayfly-single,1,111001,32,103616,1383.8947067260742,0.67432510397375722,,
mayfly-single,1,111001,40,129008,1325.4817212422688,0.17537889115685129,,
mayfly-single,1,111001,48,154400,1245.4548149108887,0.11192647177752768,,
mayfly-single,1,111001,56,179792,1223.088623046875,0.11055443414076949,,
mayfly-single,1,111001,64,205184,1207.3511797587078,0.10240224947266667,,
mayfly-single,1,111001,72,230576,1190.7710660298665,0.13273471134431233,,
mayfly-single,1,111001,80,255968,1185.8585726420085,0.10927738873829679,,
mayfly-single,1,111001,88,281360,1183.4810638427734,0.056695787546517856,,
mayfly-single,1,111001,96,306752,1180.21812693278,0.064511221768812063,,
mayfly-single,1,111001,104,332144,1178.8164253234863,0.10384153727779223,,
mayfly-single,1,111001,112,357536,1177.2161280314128,0.086036683678749601,,
mayfly-single,1,111001,120,382928,1175.8181559244792,0.052003662819097574,,
mayfly-single,1,111001,128,408320,1175.3924166361492,0.038270270360895434,,
mayfly-single,1,111001,136,433712,1175.0686175028484,0.021987947901480415,,
mayfly-single,1,111001,144,459104,1173.8704770406086,0.068773694692360762,,
mayfly-single,1,111001,152,484496,1172.9495875040691,0.059782612269874115,,
mayfly-single,1,111001,160,509888,1172.2772814432781,0.035447348414492576,,
mayfly-single,1,111001,168,535280,1171.5712788899739,0.022353663035875968,,
mayfly-single,1,111001,176,560672,1170.824649810791,0.034287248864564336,,
mayfly-single,1,111001,184,586064,1170.2814432779949,0.024017647798564388,,
mayfly-single,1,111001,192,611456,1170.1011695861816,0.020958451449200152,,
mayfly-single,1,111001,200,636848,1169.9060846964519,0.017007172379518275,,
mayfly-single,1,111001,208,662240,1169.7237307230632,0.026458249784156229,,
mayfly-single,1,111001,216,687632,1169.4751383463542,0.014896751221916457,,
mayfly-single,1,111001,224,713024,1169.3735898335774,0.0055436504817767173,,
mayfly-single,1,111001,232,738416,1169.3199768066406,0.0041283754598523065,,
mayfly-single,1,111001,240,763808,1168.6721051534016,0.0070456945280296624,,
mayfly-single,1,111001,248,789200,1168.58411916097,0.0083252097374416408,,
mayfly-single,1,111001,255,811418,1168.5206820170085,0.010866185073183878,,
mayfly-single,1,111001,256,814592,1168.5059445699055,0.0097083299520592456,,
mayfly-single,1,111001,264,839984,1167.7714716593425,0.02124685547138877,,
mayfly-single,1,111001,272,865376,1167.5773061116536,0.013220061511995632,,
mayfly-single,1,111001,280,890768,1167.2656377156575,0.015816547975884627,,
mayfly-single,1,111001,288,916160,1167.2568028767903,0.0087958648396959469,,
mayfly-single,1,111001,296,941552,1167.143290201823,0.014528738327358938,,
mayfly-single,1,111001,304,966944,1167.1214701334636,0.0058293860355746272,,
mayfly-single,1,111001,312,992336,1167.0955390930176,0.0041947665244802205,,
mayfly-single,1,111001,320,1017728,1167.0589230855305,0.0045226949785321588,,
mayfly-single,1,111001,328,1043120,1167.0493036905925,0.0016670691004548853,,
mayfly-single,1,111001,336,1068512,1167.0368512471516,0.0031408362098592521,,
mayfly-single,1,111001,344,1093904,1167.0271924336751,0.0021606106635199676,,
mayfly-single,1,111001,352,1119296,1167.0151646931965,0.0027488504470361158,,
mayfly-single,1,111001,360,1144688,1167.0107205708821,0.0034192561651900915,,
mayfly-single,1,111001,368,1170080,1167.0025978088379,0.0025415108095184864,,
mayfly-single,1,111001,376,1195472,1166.9823710123699,0.0038992059961067953,,
mayfly-single,1,111001,384,1220864,1166.9797248840332,0.0026070379533089071,,
mayfly-single,1,111001,392,1246256,1166.6354509989421,0.062987787370485493,,
mayfly-single,1,111001,400,1271648,1165.8969866434734,0.034169657552628081,,
mayfly-single,1,111001,408,1297040,1164.2650909423828,0.021634662812749398,,
mayfly-single,1,111001,416,1322432,1163.6791699727376,0.034132022518332243,,
mayfly-single,1,111001,424,1347824,1163.5064849853516,0.016556537215390014,,
mayfly-single,1,111001,432,1373216,1163.4712982177734,0.017124280497156176,,
mayfly-single,1,111001,440,1398608,1163.3753153483074,0.0083807813812468469,,
mayfly-single,1,111001,448,1424000,1163.3490130106609,0.0063098551493206683,,
mayfly-single,1,111001,456,1449392,1163.3355611165364,0.0024873692381396483,,
mayfly-single,1,111001,464,1474784,1163.3253974914551,0.0028939422852464255,,
mayfly-single,1,111001,472,1500176,1163.3168729146321,0.0018406594447074611,,
mayfly-single,1,111001,480,1525568,1163.3106892903645,0.0016871049712721582,,
mayfly-single,1,111001,488,1550960,1163.3095207214355,0.0011166430532534393,,
mayfly-single,1,111001,496,1576352,1163.3074620564778,0.00070640100714879073,,
mayfly-single,1,111001,504,1601744,1163.3069534301758,0.0004085821629868168,,
mayfly-single,1,111001,512,1627136,1163.3069534301758,0.0005152319925245389,,
mayfly-single,1,111001,520,1652528,1163.3069534301758,0.0011070603459024863,,
mayfly-single,1,111001,528,1677920,1163.3069534301758,0.0012963091942998057,,
mayfly-single,1,111001,536,1703312,1163.3069534301758,0.0012963496456720688,,
mayfly-single,1,111001,544,1728704,1163.3069534301758,0.0012963499111225026,,
mayfly-single,1,111001,552,1754096,1163.3069534301758,0.0012963499520137803,,
mayfly-single,1,111001,560,1779488,1163.3069534301758,0.0012963499524424101,,
mayfly-single,1,111001,568,1804880,1163.3069534301758,0.0012963499652155763,,
mayfly-single,1,111001,576,1830272,1163.3069534301758,0.0012963499528281768,,
mayfly-single,1,111001,584,1855664,1163.3069534301758,0.0012963499627723868,,
mayfly-single,1,111001,592,1881056,1163.3069534301758,0.0012963499623008942,,
mayfly-single,1,111001,600,1906448,1163.3069534301758,0.001296349949141961,,
mayfly-single,1,111001,608,1931840,1163.3069534301758,0.0012963499520137803,,
mayfly-single,1,111001,616,1957232,1163.3069534301758,0.0012963499522280952,,
mayfly-single,1,111001,624,1982624,1163.3069534301758,0.0012963499522280952,,
mayfly-single,1,111001,632,2008016,1163.2865778605144,0.0013091275498211194,,
mayfly-single,1,111001,640,2033408,1163.2865778605144,0.0010363343452632282,,
mayfly-single,1,111001,648,2058800,1163.2865778605144,0.0017448982505342545,,
mayfly-single,1,111001,656,2084192,1163.2865778605144,0.0016691109531346536,,
mayfly-single,1,111001,664,2109584,1163.2865778605144,0.0016695778152598334,,
mayfly-single,1,111001,672,2134976,1163.2865778605144,0.0016695794987509984,,
mayfly-single,1,111001,680,2160368,1163.2865778605144,0.0016695797882631167,,
mayfly-single,1,111001,688,2185760,1163.2811940511067,0.0013861252704121879,,
mayfly-single,1,111001,696,2211152,1163.2797775268555,0.0016462453349052367,,
mayfly-single,1,111001,704,2236544,1163.2797775268555,0.0015625564732113836,,
mayfly-single,1,111001,712,2261936,1163.2797775268555,0.0020823603711659492,,
mayfly-single,1,111001,720,2287328,1163.2797775268555,0.0025264281956140027,,
mayfly-single,1,111001,728,2312720,1163.2781422932942,0.0023033398069307108,,
mayfly-single,1,111001,736,2338112,1163.2726262410481,0.0033951005628916169,,
mayfly-single,1,111001,744,2363504,1163.2576751708984,0.0044198363155320301,,
mayfly-single,1,111001,752,2388896,1163.256399790446,0.0020975994316011271,,
mayfly-single,1,111001,760,2414288,1163.256399790446,0.0010305134147611714,,
mayfly-single,1,111001,768,2439680,1163.256399790446,0.0016139290570137959,,
mayfly-single,1,111001,776,2465072,1163.2561836242676,0.00081718136299643938,,
mayfly-single,1,111001,784,2490464,1163.2561836242676,0.00092599349495341903,,
mayfly-single,1,111001,792,2515856,1163.2561836242676,0.00082344699782765853,,
mayfly-single,1,111001,800,2541248,1163.2561836242676,0.0007708781027732745,,
mayfly-single,1,111001,808,2566640,1163.2561836242676,0.00081634781857115111,,
mayfly-single,1,111001,816,2592032,1163.2561836242676,0.00079685904743453321,,
mayfly-single,1,111001,824,2617424,1163.2561836242676,0.00094807075223368568,,
mayfly-single,1,111001,832,2642816,1163.2561836242676,0.00096839464981391299,,
mayfly-single,1,111001,840,2668208,1163.2561836242676,0.001374950922512632,,
mayfly-single,1,111001,848,2693600,1163.2561836242676,0.0016474365396103327,,
mayfly-single,1,111001,856,2718992,1163.2561836242676,0.0014340067784212969,,
mayfly-single,1,111001,864,2744384,1163.2561836242676,0.0014383912720514016,,
mayfly-single,1,111001,872,2769776,1163.2561836242676,0.0015564868985279286,,
mayfly-single,1,111001,880,2795168,1163.2561836242676,0.0018910099666833314,,
mayfly-single,1,111001,888,2820560,1163.2561836242676,0.0019876733599069772,,
mayfly-single,1,111001,896,2845952,1163.2561836242676,0.0021277426521513366,,
mayfly-single,1,111001,904,2871344,1163.2561836242676,0.0022849799280294991,,
mayfly-single,1,111001,912,2896736,1163.2561836242676,0.0025618561970610259,,
mayfly-single,1,111001,920,2922128,1163.2561836242676,0.0029957219213842261,,
mayfly-single,1,111001,928,2947520,1163.2561836242676,0.0033605472856817285,,
mayfly-single,1,111001,936,2972912,1163.2561836242676,0.0033605472856817285,,
mayfly-single,1,111001,944,2998304,1163.2561836242676,0.0033605472856817285,,
mayfly-single,1,111001,952,3023696,1163.2561836242676,0.0033605472856817285,,
mayfly-single,1,111001,960,3049088,1163.2561836242676,0.0033605472856817285,,
